author name,title,published_date,blog url,author url,author image url
Andrea Larowe,Basecamp’s Ops Team is Hiring,July 17, 2020,https://m.signalvnoise.com/basecamps-ops-team-is-hiring/,https://m.signalvnoise.com/author/andrea-larowe/,https://secure.gravatar.com/avatar/cda8868098e2e47fddd5e2e1603046c6?s=60&d=retro&r=pg
Jonas Downey,How we achieve “simple design” for Basecamp and HEY,July 8, 2020,https://m.signalvnoise.com/how-we-achieve-simple-design-for-basecamp-and-hey/,https://m.signalvnoise.com/author/jonas-downey/,https://secure.gravatar.com/avatar/3c3dc2f98185642c67d72560fffe4ef2?s=60&d=retro&r=pg
Jonas Downey,The evolution of HEY: from humble beginnings to a multi-platform email service,June 30, 2020,https://m.signalvnoise.com/the-evolution-of-hey/,https://m.signalvnoise.com/author/jonas-downey/,https://secure.gravatar.com/avatar/3c3dc2f98185642c67d72560fffe4ef2?s=60&d=retro&r=pg
Jane Yang,Towards carbon negativity,June 30, 2020,https://m.signalvnoise.com/towards-carbon-negativity/,https://m.signalvnoise.com/author/jane-yang/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/JaneYang_2-scaled.jpg?fit=60%2C60&ssl=1
Blake Stoddard,Running spot instances effectively with Amazon EKS,June 29, 2020,https://m.signalvnoise.com/running-spot-instances-effectively-with-amazon-eks/,https://m.signalvnoise.com/author/blake/,https://secure.gravatar.com/avatar/605e3664ae4af92594d06b634b835236?s=60&d=retro&r=pg
Jane Yang,Black Lives Matter,June 19, 2020,https://m.signalvnoise.com/black-lives-matter/,https://m.signalvnoise.com/author/jane-yang/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/JaneYang_2-scaled.jpg?fit=60%2C60&ssl=1
Jorge Manrubia,Celebrating 3 million accounts (fewer),June 11, 2020,https://m.signalvnoise.com/celebrating-3-million-accounts-fewer/,https://m.signalvnoise.com/author/jorgemanrubia/,https://secure.gravatar.com/avatar/a8b7add9e591acf027027a1d3bf18b1a?s=60&d=retro&r=pg
Jason Fried,On current events,June 1, 2020,https://m.signalvnoise.com/on-current-events/,https://m.signalvnoise.com/author/jason-fried/,https://i0.wp.com/m.signalvnoise.com/wp-content/uploads/2019/01/0iogT6QBu33BhVdzo.png?fit=60%2C60&ssl=1
DHH,Employee-surveillance software is not welcome to integrate with Basecamp,May 7, 2020,https://m.signalvnoise.com/employee-surveillance-software-is-not-welcome-to-integrate-with-basecamp/,https://m.signalvnoise.com/author/dhh/,https://secure.gravatar.com/avatar/040ac7f6cb78ffc0021411fd5a38127b?s=60&d=retro&r=pg
DHH,Hiring programmers with a take-home test,April 28, 2020,https://m.signalvnoise.com/hiring-programmers-with-a-take-home-test/,https://m.signalvnoise.com/author/dhh/,https://secure.gravatar.com/avatar/040ac7f6cb78ffc0021411fd5a38127b?s=60&d=retro&r=pg
